transactionID,reference,amount,description
TXN-100077,REF-100077,10000,System Record (Clean Data)
TXN-100078,REF-100078,200,System Record (Clean Data)
TXN-100079,REF-100079,5000,System Record (Clean Data)
TXN-100080,REF-100080,200,System Record (Clean Data)
TXN-100081,REF-100081,100,System Record (Clean Data)
TXN-100082,REF-100082,1000,System Record (Clean Data)
TXN-100083,REF-100083,10000,System Record (Clean Data)
TXN-100084,REF-100084,2500,System Record (Clean Data)
TXN-100085,REF-100085,2500,System Record (Clean Data)
TXN-100086,REF-100086,500,System Record (Clean Data)
TXN-100087,REF-100087,1000,System Record (Clean Data)
TXN-100088,REF-100088,100,System Record (Clean Data)
TXN-100089,REF-100089,2500,System Record (Clean Data)
TXN-100090,REF-100090,5000,System Record (Clean Data)
TXN-100091,REF-100091,1000,System Record (Clean Data)
TXN-100092,REF-100092,2500,System Record (Clean Data)
TXN-100093,REF-100093,200,System Record (Clean Data)
TXN-100094,REF-100094,200,System Record (Clean Data)
TXN-100095,REF-100095,500,System Record (Clean Data)
TXN-100096,REF-100096,5000,System Record (Clean Data)
TXN-100097,REF-100097,500,System Record (Clean Data)
TXN-100098,REF-100098,100,System Record (Clean Data)
TXN-100099,REF-100099,200,System Record (Clean Data)
TXN-100100,REF-100100,1000,System Record (Clean Data)
TXN-100101,REF-100101,5000,System Record (Clean Data)
TXN-100102,REF-100102,5000,System Record (Clean Data)
TXN-100103,REF-100103,10000,System Record (Clean Data)
TXN-100104,REF-100104,5000,System Record (Clean Data)
TXN-100105,REF-100105,100,System Record (Clean Data)
TXN-100106,REF-100106,5000,System Record (Clean Data)
TXN-100107,REF-100107,10000,System Record (Clean Data)
TXN-100108,REF-100108,5000,System Record (Clean Data)
TXN-100109,REF-100109,1000,System Record (Clean Data)
TXN-100110,REF-100110,10000,System Record (Clean Data)
TXN-100111,REF-100111,1000,System Record (Clean Data)
TXN-100112,REF-100112,100,System Record (Clean Data)
TXN-100113,REF-100113,5000,System Record (Clean Data)
TXN-100114,REF-100114,2500,System Record (Clean Data)
TXN-100115,REF-100115,10000,System Record (Clean Data)
TXN-100116,REF-100116,5000,System Record (Clean Data)
TXN-100117,REF-100117,10000,System Record (Clean Data)
TXN-100118,REF-100118,5000,System Record (Clean Data)
TXN-100119,REF-100119,100,System Record (Clean Data)
TXN-100120,REF-100120,5000,System Record (Clean Data)
TXN-100121,REF-100121,1000,System Record (Clean Data)
TXN-100122,REF-100122,500,System Record (Clean Data)
TXN-100123,REF-100123,100,System Record (Clean Data)
TXN-100124,REF-100124,1000,System Record (Clean Data)
TXN-100125,REF-100125,2500,System Record (Clean Data)
TXN-100126,REF-100126,2500,System Record (Clean Data)
TXN-100127,REF-100127,200,System Record (Clean Data)
TXN-100128,REF-100128,500,System Record (Clean Data)
TXN-100129,REF-100129,5000,System Record (Clean Data)
TXN-100130,REF-100130,10000,System Record (Clean Data)
TXN-100131,REF-100131,5000,System Record (Clean Data)
TXN-100132,REF-100132,1000,System Record (Clean Data)
TXN-100133,REF-100133,10000,System Record (Clean Data)
TXN-100134,REF-100134,2500,System Record (Clean Data)
TXN-100135,REF-100135,2500,System Record (Clean Data)
TXN-100136,REF-100136,1000,System Record (Clean Data)
TXN-100137,REF-100137,10000,System Record (Clean Data)
TXN-100138,REF-100138,200,System Record (Clean Data)
TXN-100139,REF-100139,2500,System Record (Clean Data)
TXN-100140,REF-100140,2500,System Record (Clean Data)
TXN-100141,REF-100141,5000,System Record (Clean Data)
TXN-100142,REF-100142,1000,System Record (Clean Data)
TXN-100143,REF-100143,1000,System Record (Clean Data)
TXN-100144,REF-100144,500,System Record (Clean Data)
TXN-100145,REF-100145,2500,System Record (Clean Data)
TXN-100146,REF-100146,100,System Record (Clean Data)
TXN-100147,REF-100147,500,System Record (Clean Data)
TXN-100148,REF-100148,200,System Record (Clean Data)
TXN-100149,REF-100149,100,System Record (Clean Data)
TXN-100150,REF-100150,1000,System Record (Clean Data)
TXN-100151,REF-100151,2500,System Record (Clean Data)
TXN-100152,REF-100152,10000,System Record (Clean Data)
TXN-100153,REF-100153,2500,System Record (Clean Data)
TXN-100154,REF-100154,100,System Record (Clean Data)
TXN-100155,REF-100155,100,System Record (Clean Data)
TXN-100156,REF-100156,200,System Record (Clean Data)
TXN-100157,REF-100157,500,System Record (Clean Data)
TXN-100158,REF-100158,2500,System Record (Clean Data)
TXN-100159,REF-100159,100,System Record (Clean Data)
TXN-100160,REF-100160,100,System Record (Clean Data)
TXN-100161,REF-100161,5000,System Record (Clean Data)
TXN-100162,REF-100162,200,System Record (Clean Data)
TXN-100163,REF-100163,2500,System Record (Clean Data)
TXN-100164,REF-100164,200,System Record (Clean Data)
TXN-100165,REF-100165,1000,System Record (Clean Data)
TXN-100166,REF-100166,10000,System Record (Clean Data)
TXN-100167,REF-100167,5000,System Record (Clean Data)
TXN-100168,REF-100168,2500,System Record (Clean Data)
TXN-100169,REF-100169,100,System Record (Clean Data)
TXN-100170,REF-100170,200,System Record (Clean Data)
TXN-100171,REF-100171,100,System Record (Clean Data)
TXN-100172,REF-100172,5000,System Record (Clean Data)
TXN-100173,REF-100173,5000,System Record (Clean Data)
TXN-100174,REF-100174,200,System Record (Clean Data)
TXN-100175,REF-100175,500,System Record (Clean Data)
TXN-100176,REF-100176,100,System Record (Clean Data)
TXN-100177,REF-100177,500,System Record (Clean Data)
TXN-100178,REF-100178,2500,System Record (Clean Data)
TXN-100179,REF-100179,100,System Record (Clean Data)
TXN-100180,REF-100180,1000,System Record (Clean Data)
TXN-100181,REF-100181,100,System Record (Clean Data)
TXN-100182,REF-100182,100,System Record (Clean Data)
TXN-100183,REF-100183,500,System Record (Clean Data)
TXN-100184,REF-100184,2500,System Record (Clean Data)
TXN-100185,REF-100185,2500,System Record (Clean Data)
TXN-100186,REF-100186,500,System Record (Clean Data)
TXN-100187,REF-100187,500,System Record (Clean Data)
TXN-100188,REF-100188,500,System Record (Clean Data)
TXN-100189,REF-100189,5000,System Record (Clean Data)
TXN-100190,REF-100190,2500,System Record (Clean Data)
TXN-100191,REF-100191,1000,System Record (Clean Data)
TXN-100192,REF-100192,500,System Record (Clean Data)
TXN-100193,REF-100193,200,System Record (Clean Data)
TXN-100194,REF-100194,1000,System Record (Clean Data)
TXN-100195,REF-100195,1000,System Record (Clean Data)
TXN-100196,REF-100196,200,System Record (Clean Data)
TXN-100197,REF-100197,100,System Record (Clean Data)
TXN-100198,REF-100198,1000,System Record (Clean Data)
TXN-100199,REF-100199,5000,System Record (Clean Data)
TXN-100200,REF-100200,500,System Record (Clean Data)
TXN-100201,REF-100201,2500,System Record (Clean Data)
TXN-100202,REF-100202,100,System Record (Clean Data)
TXN-100203,REF-100203,500,System Record (Clean Data)
TXN-100204,REF-100204,2500,System Record (Clean Data)
TXN-100205,REF-100205,200,System Record (Clean Data)
TXN-100206,REF-100206,10000,System Record (Clean Data)
TXN-100207,REF-100207,2500,System Record (Clean Data)
TXN-100208,REF-100208,1000,System Record (Clean Data)
TXN-100209,REF-100209,500,System Record (Clean Data)
TXN-100210,REF-100210,200,System Record (Clean Data)
TXN-100211,REF-100211,500,System Record (Clean Data)
TXN-100212,REF-100212,200,System Record (Clean Data)
TXN-100213,REF-100213,200,System Record (Clean Data)
TXN-100214,REF-100214,2500,System Record (Clean Data)
TXN-100215,REF-100215,10000,System Record (Clean Data)
TXN-100216,REF-100216,2500,System Record (Clean Data)
TXN-100217,REF-100217,5000,System Record (Clean Data)
TXN-100218,REF-100218,2500,System Record (Clean Data)
TXN-100219,REF-100219,2500,System Record (Clean Data)
TXN-100220,REF-100220,10000,System Record (Clean Data)
TXN-100221,REF-100221,10000,System Record (Clean Data)
TXN-100222,REF-100222,5000,System Record (Clean Data)
TXN-100223,REF-100223,500,System Record (Clean Data)
TXN-100224,REF-100224,100,System Record (Clean Data)
TXN-100225,REF-100225,5000,System Record (Clean Data)
TXN-100226,REF-100226,500,System Record (Clean Data)
TXN-100227,REF-100227,2500,System Record (Clean Data)
TXN-100228,REF-100228,500,System Record (Clean Data)
TXN-100229,REF-100229,10000,System Record (Clean Data)
TXN-100230,REF-100230,5000,System Record (Clean Data)
TXN-100231,REF-100231,500,System Record (Clean Data)
TXN-100232,REF-100232,200,System Record (Clean Data)
TXN-100233,REF-100233,500,System Record (Clean Data)
TXN-100234,REF-100234,5000,System Record (Clean Data)
TXN-100235,REF-100235,500,System Record (Clean Data)
TXN-100236,REF-100236,2500,System Record (Clean Data)
TXN-100237,REF-100237,200,System Record (Clean Data)
TXN-100238,REF-100238,2500,System Record (Clean Data)
TXN-100239,REF-100239,1000,System Record (Clean Data)
TXN-100240,REF-100240,1000,System Record (Clean Data)
TXN-100241,REF-100241,500,System Record (Clean Data)
TXN-100242,REF-100242,10000,System Record (Clean Data)
TXN-100243,REF-100243,500,System Record (Clean Data)
TXN-100244,REF-100244,10000,System Record (Clean Data)
TXN-100245,REF-100245,500,System Record (Clean Data)
TXN-100246,REF-100246,10000,System Record (Clean Data)
TXN-100247,REF-100247,1000,System Record (Clean Data)
TXN-100248,REF-100248,1000,System Record (Clean Data)
TXN-100249,REF-100249,2500,System Record (Clean Data)
TXN-100250,REF-100250,1000,System Record (Clean Data)
TXN-100251,REF-100251,100,System Record (Clean Data)
TXN-100252,REF-100252,10000,System Record (Clean Data)
TXN-100253,REF-100253,1000,System Record (Clean Data)
TXN-100254,REF-100254,1000,System Record (Clean Data)
TXN-100255,REF-100255,100,System Record (Clean Data)
TXN-100256,REF-100256,100,System Record (Clean Data)
TXN-100257,REF-100257,1000,System Record (Clean Data)
TXN-100258,REF-100258,500,System Record (Clean Data)
TXN-100259,REF-100259,200,System Record (Clean Data)
TXN-100260,REF-100260,1000,System Record (Clean Data)
TXN-100261,REF-100261,10000,System Record (Clean Data)
TXN-100262,REF-100262,10000,System Record (Clean Data)
TXN-100263,REF-100263,5000,System Record (Clean Data)
TXN-100264,REF-100264,100,System Record (Clean Data)
TXN-100265,REF-100265,200,System Record (Clean Data)
TXN-100266,REF-100266,2500,System Record (Clean Data)
TXN-100267,REF-100267,10000,System Record (Clean Data)
TXN-100268,REF-100268,100,System Record (Clean Data)
TXN-100269,REF-100269,200,System Record (Clean Data)
TXN-100270,REF-100270,200,System Record (Clean Data)
TXN-100271,REF-100271,10000,System Record (Clean Data)
TXN-100272,REF-100272,200,System Record (Clean Data)
TXN-100273,REF-100273,500,System Record (Clean Data)
TXN-100274,REF-100274,5000,System Record (Clean Data)
TXN-100275,REF-100275,200,System Record (Clean Data)
TXN-100276,REF-100276,100,System Record (Clean Data)
TXN-100277,REF-100277,1000,System Record (Clean Data)
TXN-100278,REF-100278,10000,System Record (Clean Data)
TXN-100279,REF-100279,2500,System Record (Clean Data)
TXN-100280,REF-100280,500,System Record (Clean Data)
TXN-100281,REF-100281,100,System Record (Clean Data)
TXN-100282,REF-100282,500,System Record (Clean Data)
TXN-100283,REF-100283,500,System Record (Clean Data)
TXN-100284,REF-100284,10000,System Record (Clean Data)
TXN-100285,REF-100285,100,System Record (Clean Data)
TXN-100286,REF-100286,100,System Record (Clean Data)
TXN-100287,REF-100287,10000,System Record (Clean Data)
TXN-100288,REF-100288,100,System Record (Clean Data)
TXN-100289,REF-100289,100,System Record (Clean Data)
TXN-100290,REF-100290,1000,System Record (Clean Data)
TXN-100291,REF-100291,5000,System Record (Clean Data)
TXN-100292,REF-100292,1000,System Record (Clean Data)
TXN-100293,REF-100293,10000,System Record (Clean Data)
TXN-100294,REF-100294,10000,System Record (Clean Data)
TXN-100295,REF-100295,1000,System Record (Clean Data)
TXN-100296,REF-100296,5000,System Record (Clean Data)
TXN-100297,REF-100297,5000,System Record (Clean Data)
TXN-100298,REF-100298,10000,System Record (Clean Data)
TXN-100299,REF-100299,2500,System Record (Clean Data)
TXN-100300,REF-100300,5000,System Record (Clean Data)
TXN-100301,REF-100301,100,System Record (Clean Data)
TXN-100302,REF-100302,100,System Record (Clean Data)
TXN-100303,REF-100303,1000,System Record (Clean Data)
TXN-100304,REF-100304,5000,System Record (Clean Data)
TXN-100305,REF-100305,2500,System Record (Clean Data)
TXN-100306,REF-100306,500,System Record (Clean Data)
TXN-100307,REF-100307,200,System Record (Clean Data)
TXN-100308,REF-100308,5000,System Record (Clean Data)
TXN-100309,REF-100309,5000,System Record (Clean Data)
TXN-100310,REF-100310,100,System Record (Clean Data)
TXN-100311,REF-100311,100,System Record (Clean Data)
TXN-100312,REF-100312,100,System Record (Clean Data)
TXN-100313,REF-100313,2500,System Record (Clean Data)
TXN-100314,REF-100314,100,System Record (Clean Data)
TXN-100315,REF-100315,500,System Record (Clean Data)
TXN-100316,REF-100316,500,System Record (Clean Data)
TXN-100317,REF-100317,200,System Record (Clean Data)
TXN-100318,REF-100318,100,System Record (Clean Data)
TXN-100319,REF-100319,10000,System Record (Clean Data)
TXN-100320,REF-100320,500,System Record (Clean Data)
TXN-100321,REF-100321,5000,System Record (Clean Data)
TXN-100322,REF-100322,100,System Record (Clean Data)
TXN-100323,REF-100323,500,System Record (Clean Data)
TXN-100324,REF-100324,200,System Record (Clean Data)
TXN-100325,REF-100325,200,System Record (Clean Data)
TXN-100326,REF-100326,500,System Record (Clean Data)
TXN-100327,REF-100327,1000,System Record (Clean Data)
TXN-100328,REF-100328,500,System Record (Clean Data)
TXN-100329,REF-100329,10000,System Record (Clean Data)
TXN-100330,REF-100330,200,System Record (Clean Data)
TXN-100331,REF-100331,2500,System Record (Clean Data)
TXN-100332,REF-100332,5000,System Record (Clean Data)
TXN-100333,REF-100333,100,System Record (Clean Data)
TXN-100334,REF-100334,1000,System Record (Clean Data)
TXN-100335,REF-100335,2500,System Record (Clean Data)
TXN-100336,REF-100336,100,System Record (Clean Data)
TXN-100337,REF-100337,1000,System Record (Clean Data)
TXN-100338,REF-100338,1000,System Record (Clean Data)
TXN-100339,REF-100339,200,System Record (Clean Data)
TXN-100340,REF-100340,100,System Record (Clean Data)
TXN-100341,REF-100341,100,System Record (Clean Data)
TXN-100342,REF-100342,5000,System Record (Clean Data)
TXN-100343,REF-100343,1000,System Record (Clean Data)
TXN-100344,REF-100344,5000,System Record (Clean Data)
TXN-100345,REF-100345,5000,System Record (Clean Data)
TXN-100346,REF-100346,10000,System Record (Clean Data)
TXN-100347,REF-100347,5000,System Record (Clean Data)
TXN-100348,REF-100348,1000,System Record (Clean Data)
TXN-100349,REF-100349,500,System Record (Clean Data)
TXN-100350,REF-100350,5000,System Record (Clean Data)
TXN-100351,REF-100351,500,System Record (Clean Data)
TXN-100352,REF-100352,500,System Record (Clean Data)
TXN-100353,REF-100353,1000,System Record (Clean Data)
TXN-100354,REF-100354,1000,System Record (Clean Data)
TXN-100355,REF-100355,1000,System Record (Clean Data)
TXN-100356,REF-100356,5000,System Record (Clean Data)
TXN-100357,REF-100357,500,System Record (Clean Data)
TXN-100358,REF-100358,100,System Record (Clean Data)
TXN-100359,REF-100359,500,System Record (Clean Data)
TXN-100360,REF-100360,1000,System Record (Clean Data)
TXN-100361,REF-100361,2500,System Record (Clean Data)
TXN-100362,REF-100362,2500,System Record (Clean Data)
TXN-100363,REF-100363,500,System Record (Clean Data)
TXN-100364,REF-100364,10000,System Record (Clean Data)
TXN-100365,REF-100365,10000,System Record (Clean Data)
TXN-100366,REF-100366,1000,System Record (Clean Data)
TXN-100367,REF-100367,200,System Record (Clean Data)
TXN-100368,REF-100368,2500,System Record (Clean Data)
TXN-100369,REF-100369,200,System Record (Clean Data)
TXN-100370,REF-100370,10000,System Record (Clean Data)
TXN-100371,REF-100371,5000,System Record (Clean Data)
TXN-100372,REF-100372,2500,System Record (Clean Data)
TXN-100373,REF-100373,500,System Record (Clean Data)
TXN-100374,REF-100374,2500,System Record (Clean Data)
TXN-100375,REF-100375,2500,System Record (Clean Data)
TXN-100376,REF-100376,2500,System Record (Clean Data)
TXN-100377,REF-100377,10000,System Record (Clean Data)
TXN-100378,REF-100378,1000,System Record (Clean Data)
TXN-100379,REF-100379,10000,System Record (Clean Data)
TXN-100380,REF-100380,5000,System Record (Clean Data)
TXN-100381,REF-100381,5000,System Record (Clean Data)
TXN-100382,REF-100382,500,System Record (Clean Data)
TXN-100383,REF-100383,5000,System Record (Clean Data)
TXN-100384,REF-100384,100,System Record (Clean Data)
TXN-100385,REF-100385,500,System Record (Clean Data)
TXN-100386,REF-100386,500,System Record (Clean Data)
TXN-100387,REF-100387,100,System Record (Clean Data)
TXN-100388,REF-100388,1000,System Record (Clean Data)
TXN-100389,REF-100389,200,System Record (Clean Data)
TXN-100390,REF-100390,200,System Record (Clean Data)
TXN-100391,REF-100391,2500,System Record (Clean Data)
TXN-100392,REF-100392,200,System Record (Clean Data)
TXN-100393,REF-100393,10000,System Record (Clean Data)
TXN-100394,REF-100394,200,System Record (Clean Data)
TXN-100395,REF-100395,2500,System Record (Clean Data)
TXN-100396,REF-100396,5000,System Record (Clean Data)
TXN-100397,REF-100397,100,System Record (Clean Data)
TXN-100398,REF-100398,100,System Record (Clean Data)
TXN-100399,REF-100399,5000,System Record (Clean Data)
TXN-100400,REF-100400,2500,System Record (Clean Data)
TXN-100401,REF-100401,2500,System Record (Clean Data)
TXN-100402,REF-100402,2500,System Record (Clean Data)
TXN-100403,REF-100403,100,System Record (Clean Data)
TXN-100404,REF-100404,2500,System Record (Clean Data)
TXN-100405,REF-100405,10000,System Record (Clean Data)
TXN-100406,REF-100406,100,System Record (Clean Data)
TXN-100407,REF-100407,100,System Record (Clean Data)
TXN-100408,REF-100408,1000,System Record (Clean Data)
TXN-100409,REF-100409,2500,System Record (Clean Data)
TXN-100410,REF-100410,10000,System Record (Clean Data)
TXN-100411,REF-100411,5000,System Record (Clean Data)
TXN-100412,REF-100412,10000,System Record (Clean Data)
TXN-100413,REF-100413,500,System Record (Clean Data)
TXN-100414,REF-100414,100,System Record (Clean Data)
TXN-100415,REF-100415,200,System Record (Clean Data)
TXN-100416,REF-100416,5000,System Record (Clean Data)
TXN-100417,REF-100417,1000,System Record (Clean Data)
TXN-100418,REF-100418,200,System Record (Clean Data)
TXN-100419,REF-100419,500,System Record (Clean Data)
TXN-100420,REF-100420,2500,System Record (Clean Data)
TXN-100421,REF-100421,5000,System Record (Clean Data)
TXN-100422,REF-100422,5000,System Record (Clean Data)
TXN-100423,REF-100423,2500,System Record (Clean Data)
TXN-100424,REF-100424,2500,System Record (Clean Data)
TXN-100425,REF-100425,500,System Record (Clean Data)
TXN-100426,REF-100426,200,System Record (Clean Data)
TXN-100427,REF-100427,10000,System Record (Clean Data)
TXN-100428,REF-100428,10000,System Record (Clean Data)
TXN-100429,REF-100429,1000,System Record (Clean Data)
TXN-100430,REF-100430,100,System Record (Clean Data)
TXN-100431,REF-100431,100,System Record (Clean Data)
TXN-100432,REF-100432,5000,System Record (Clean Data)
TXN-100433,REF-100433,200,System Record (Clean Data)
TXN-100434,REF-100434,5000,System Record (Clean Data)
TXN-100435,REF-100435,10000,System Record (Clean Data)
TXN-100436,REF-100436,500,System Record (Clean Data)
TXN-100437,REF-100437,10000,System Record (Clean Data)
TXN-100438,REF-100438,5000,System Record (Clean Data)
TXN-100439,REF-100439,1000,System Record (Clean Data)
TXN-100440,REF-100440,200,System Record (Clean Data)
TXN-100441,REF-100441,5000,System Record (Clean Data)
TXN-100442,REF-100442,1000,System Record (Clean Data)
TXN-100443,REF-100443,5000,System Record (Clean Data)
TXN-100444,REF-100444,5000,System Record (Clean Data)
TXN-100445,REF-100445,1000,System Record (Clean Data)
TXN-100446,REF-100446,10000,System Record (Clean Data)
TXN-100447,REF-100447,1000,System Record (Clean Data)
TXN-100448,REF-100448,2500,System Record (Clean Data)
TXN-100449,REF-100449,10000,System Record (Clean Data)
TXN-100450,REF-100450,100,System Record (Clean Data)
TXN-100451,REF-100451,2500,System Record (Clean Data)
TXN-100452,REF-100452,500,System Record (Clean Data)
TXN-100453,REF-100453,1000,System Record (Clean Data)
TXN-100454,REF-100454,500,System Record (Clean Data)
TXN-100455,REF-100455,100,System Record (Clean Data)
TXN-100456,REF-100456,10000,System Record (Clean Data)
TXN-100457,REF-100457,200,System Record (Clean Data)
TXN-100458,REF-100458,100,System Record (Clean Data)
TXN-100459,REF-100459,2500,System Record (Clean Data)
TXN-100460,REF-100460,200,System Record (Clean Data)
TXN-100461,REF-100461,100,System Record (Clean Data)
TXN-100462,REF-100462,2500,System Record (Clean Data)
TXN-100463,REF-100463,100,System Record (Clean Data)
TXN-100464,REF-100464,10000,System Record (Clean Data)
TXN-100465,REF-100465,100,System Record (Clean Data)
TXN-100466,REF-100466,100,System Record (Clean Data)
TXN-100467,REF-100467,200,System Record (Clean Data)
TXN-100468,REF-100468,5000,System Record (Clean Data)
TXN-100469,REF-100469,10000,System Record (Clean Data)
TXN-100470,REF-100470,100,System Record (Clean Data)
TXN-100471,REF-100471,200,System Record (Clean Data)
TXN-100472,REF-100472,10000,System Record (Clean Data)
TXN-100473,REF-100473,10000,System Record (Clean Data)
TXN-100474,REF-100474,1000,System Record (Clean Data)
TXN-100475,REF-100475,5000,System Record (Clean Data)
TXN-100476,REF-100476,200,System Record (Clean Data)
TXN-100477,REF-100477,10000,System Record (Clean Data)
TXN-100478,REF-100478,10000,System Record (Clean Data)
TXN-100479,REF-100479,5000,System Record (Clean Data)
TXN-100480,REF-100480,2500,System Record (Clean Data)
TXN-100481,REF-100481,1000,System Record (Clean Data)
TXN-100482,REF-100482,500,System Record (Clean Data)
TXN-100483,REF-100483,500,System Record (Clean Data)
TXN-100484,REF-100484,5000,System Record (Clean Data)
TXN-100485,REF-100485,5000,System Record (Clean Data)
TXN-100486,REF-100486,200,System Record (Clean Data)
TXN-100487,REF-100487,100,System Record (Clean Data)
TXN-100488,REF-100488,10000,System Record (Clean Data)
TXN-100489,REF-100489,5000,System Record (Clean Data)
TXN-100490,REF-100490,1000,System Record (Clean Data)
TXN-100491,REF-100491,100,System Record (Clean Data)
TXN-100492,REF-100492,200,System Record (Clean Data)
TXN-100493,REF-100493,10000,System Record (Clean Data)
TXN-100494,REF-100494,2500,System Record (Clean Data)
TXN-100495,REF-100495,2500,System Record (Clean Data)
TXN-100496,REF-100496,1000,System Record (Clean Data)
TXN-100497,REF-100497,10000,System Record (Clean Data)
TXN-100498,REF-100498,100,System Record (Clean Data)
TXN-100499,REF-100499,100,System Record (Clean Data)
TXN-100500,REF-100500,2500,System Record (Clean Data)
TXN-100501,REF-100501,200,System Record (Clean Data)
TXN-100502,REF-100502,10000,System Record (Clean Data)
TXN-100503,REF-100503,10000,System Record (Clean Data)
TXN-100504,REF-100504,200,System Record (Clean Data)
TXN-100505,REF-100505,1000,System Record (Clean Data)
TXN-100506,REF-100506,100,System Record (Clean Data)
TXN-100507,REF-100507,100,System Record (Clean Data)
TXN-100508,REF-100508,200,System Record (Clean Data)
TXN-100509,REF-100509,2500,System Record (Clean Data)
TXN-100510,REF-100510,5000,System Record (Clean Data)
TXN-100511,REF-100511,500,System Record (Clean Data)
TXN-100512,REF-100512,5000,System Record (Clean Data)
TXN-100513,REF-100513,2500,System Record (Clean Data)
TXN-100514,REF-100514,5000,System Record (Clean Data)
TXN-100515,REF-100515,200,System Record (Clean Data)
TXN-100516,REF-100516,500,System Record (Clean Data)
TXN-100517,REF-100517,100,System Record (Clean Data)
TXN-100518,REF-100518,5000,System Record (Clean Data)
TXN-100519,REF-100519,10000,System Record (Clean Data)
TXN-100520,REF-100520,100,System Record (Clean Data)
TXN-100521,REF-100521,100,System Record (Clean Data)
TXN-100522,REF-100522,200,System Record (Clean Data)
TXN-100523,REF-100523,5000,System Record (Clean Data)
TXN-100524,REF-100524,5000,System Record (Clean Data)
TXN-100525,REF-100525,100,System Record (Clean Data)
